ModuleEigengene	mgi_symbol	ensembl_gene_id	logFC_PFC_FENT	logFC_PFC_F_FENT	logFC_PFC_M_FENT	P.Value_PFC_FENT	P.Value_PFC_F_FENT	P.Value_PFC_M_FENT
ME4	Apod	ENSMUSG00000022548	0.659188682352938	0.240305688275115	1.07807167643076	0.0101008096526529	0.531869508930611	0.00118325981613015
ME45	Crhbp	ENSMUSG00000021680	-0.349223580563864	-0.145703326288726	-0.552743834839003	0.209901144204544	0.732575755089976	0.121067945020276
ME5	Il17re	ENSMUSG00000043088	0.254650571815667	0.427138561276315	0.0821625823550196	0.185490662223537	0.149929724875681	0.735937363398767
ME39	Mgat5b	ENSMUSG00000043857	-0.0613029931834284	0.0702440273449589	-0.192850013711816	0.483944106383691	0.602254335517015	0.0875327247655652
ME12	Wnk1	ENSMUSG00000045962	0.0522785475140166	0.0290247811861679	0.0755323138418653	0.645231731775785	0.868105870964667	0.602129413087962
ME55	Gm57009	ENSMUSG00000120261	-0.631894648538941	-0.940700654516251	-0.32308864256163	0.00336276174477361	0.00450386070100393	0.225543876823953
ME65	Rpl29	ENSMUSG00000048758	-0.148421466893764	-0.292547366949938	-0.00429556683758925	0.091608921716481	0.0321482314790921	0.969097433220892
ME27	Aff4	ENSMUSG00000049470	-0.0375322218040024	-0.0182962927954904	-0.0567681508125144	0.594985023766604	0.866252792676448	0.528650479418043
ME50	Wdcp	ENSMUSG00000051721	-0.174875437186014	-0.153646028536342	-0.196104845835686	0.123810949108314	0.376850389995494	0.175100071275676
ME2	Gan	ENSMUSG00000052557	0.0392030699566055	0.142308091830488	-0.063901951917277	0.692948299716785	0.353553621345184	0.614005978223794
ME38	Swt1	ENSMUSG00000052748	0.29854407392756	0.364630928097107	0.232457219758012	0.0176210868909846	0.0576551288133885	0.14143825112968
ME54	E330013P04Rik	ENSMUSG00000053117	0.0906830778501408	-0.0206082263812681	0.20197438208155	0.764806823830925	0.964782317803225	0.601688161402045
ME62	Sec14l5	ENSMUSG00000091712	0.369708738910411	0.340877738498222	0.3985397393226	0.073507188498914	0.279911412878674	0.128958096573164
ME33	Dennd1b	ENSMUSG00000056268	-0.00675279336981083	0.0770763435853423	-0.090581930324964	0.944709911174236	0.607734324242736	0.466809961715593
ME0	Pyroxd2	ENSMUSG00000060224	0.202769327726386	0.750601167101896	-0.345062511649123	0.501024083076522	0.109037600261822	0.37006510507064
ME7	Camkv	ENSMUSG00000032936	-0.527688981834724	-0.25003941076653	-0.805338552902917	0.0441025592782583	0.529382965253672	0.0167825132499932
ME8	Rplp0	ENSMUSG00000067274	-0.102850749112949	-0.143216908570343	-0.0624845896555541	0.130339741416178	0.170726582797211	0.467904240865242
ME11	Slc17a7	ENSMUSG00000070570	0.621183669081313	0.375633609883665	0.866733728278961	0.455701003854781	0.769207757820515	0.414744634669937
ME24	Grk6	ENSMUSG00000074886	0.196096141153868	0.304900633354951	0.0872916489527862	0.00230035950492769	0.002106095613754	0.270751118770818
ME71	1700001L05Rik	ENSMUSG00000075511	0.113848678482198	0.116279066224938	0.111418290739458	0.619834352603362	0.742070442833054	0.703375185488297
ME51	Emc1	ENSMUSG00000078517	-0.0134652378315141	0.0469996486644924	-0.0739301243275206	0.854238306558123	0.677386002565545	0.430238768916598
ME68	Gm14308	ENSMUSG00000078880	-0.027160621730295	0.00405099230864292	-0.0583722357692329	0.762988648779021	0.976697691738424	0.611651403567247
ME75	Ankrd13a	ENSMUSG00000041870	0.302992187999396	0.364784839807064	0.241199536191727	0.00620698738021013	0.0304031898891044	0.0817126917694859
ME14	Gm13136	ENSMUSG00000081179	0.129547959548251	0.244777300338395	0.0143186187581079	0.29212547125689	0.197341716290879	0.926929927355937
ME15	Pgam1-ps2	ENSMUSG00000082016	0.103396068296416	0.102864041455245	0.103928095137586	0.0916457518589099	0.272637351837221	0.18181683556022
ME60	Gm12050	ENSMUSG00000085856	0.449375018524684	0.265921861117669	0.632828175931699	0.0880635689842558	0.507865017403531	0.0603631625216473
ME19	Gm14236	ENSMUSG00000086411	-0.0492569198918762	-0.276440192830204	0.177926353046452	0.741675546341364	0.23236857398513	0.352124202904042
ME77	Gm13552	ENSMUSG00000081157	-0.294376956429935	-0.350819502382109	-0.237934410477761	0.0213803488545924	0.0724725767976498	0.139503066786508
ME43	B930094E09Rik	ENSMUSG00000092124	0.540202076946493	0.571915088672187	0.5084890652208	0.0612355416768379	0.194811665014118	0.164371561524294
ME22	Gm6061	ENSMUSG00000093392	-0.0247329640841421	-0.0407995507086998	-0.00866637745958432	0.816530388361935	0.803788877414232	0.949172874683879
ME52	Hmgcs1	ENSMUSG00000093930	-0.00278329963677715	-0.0348519560660305	0.0292853567924762	0.967017335730156	0.736896966222881	0.733171090259745
ME23	Atp6-ps	ENSMUSG00000100862	-0.147415572366975	-0.464317742478473	0.169486597744523	0.545027890523921	0.218134561143311	0.585295521897322
ME13	Gm37899	ENSMUSG00000102657	0.837305721798943	1.55085664408098	0.123754799516906	0.10063887947484	0.0494962014571667	0.847438636878608
ME61	Pcdhga5	ENSMUSG00000103567	-0.125404180892081	-0.0905949268849446	-0.160213434899217	0.163592698759663	0.510845095149905	0.162946936434243
ME49	Gm3364	ENSMUSG00000105224	-0.986086830202833	-1.83044544285645	-0.14172821754922	0.0105938860355758	0.00233655247406831	0.767226165921117
ME73	Gm44043	ENSMUSG00000107976	0.678158477652273	0.96776875999348	0.388548195311067	0.0703586323464439	0.0930223116648585	0.411173182420666
ME72	Gm5587	ENSMUSG00000108518	-0.394704001616824	-0.440645097531473	-0.348762905702175	0.0628287138010316	0.174584734037218	0.194120431886438
ME44	Gm31166	ENSMUSG00000109695	-0.0968523147664702	-0.302223901638749	0.108519272105809	0.583905279305836	0.269095599246212	0.630357444819677
ME35	Gm17990	ENSMUSG00000110117	-0.263747250093927	-0.37655554350367	-0.150938956684184	0.37340303714549	0.409155322668808	0.688849492163414
ME57	Gm34322	ENSMUSG00000111033	0.324807299213304	-0.29527570840721	0.944890306833817	0.272185371004716	0.515585302258979	0.0141569244989129
ME58	Gm7446	ENSMUSG00000113258	0.0390526172608137	0.0210944761643352	0.0570107583572921	0.56963273933308	0.841778453190216	0.515400717872438
ME67	Gm49895	ENSMUSG00000117124	-0.0799408515542157	-0.33267109144399	0.172789388335559	0.782132267058248	0.455927882632156	0.639560504083049
ME70	Gm53015	ENSMUSG00000118181	0.228396029691013	0.417413668667911	0.0393783907141156	0.137239499708231	0.0789804720554482	0.839347829999929
ME63	Gm26444	ENSMUSG00000118751	0.00578482844474304	-0.836755966516894	0.84832562340638	0.980520350915846	0.0248242913055365	0.00653292392221318
ME53	Gm25474	ENSMUSG00000118916	-0.27178314705702	-0.256438130798385	-0.287128163315655	0.502523160957854	0.680926403922112	0.578436068731332
ME9	Slc13a4	ENSMUSG00000029843	1.0164620742214	0.863867976654277	1.16905617178852	0.0524840140165094	0.27937722188761	0.0795103370128432
ME6	Gm54867	ENSMUSG00002075795	-0.449793995564776	-1.02376103784713	0.124173046717576	0.0122495145428944	0.000323454467114337	0.578154466507458
