ModuleEigengene	mgi_symbol	ensembl_gene_id	logFC_NAC_FENT	logFC_NAC_F_FENT	logFC_NAC_M_FENT	P.Value_NAC_FENT	P.Value_NAC_F_FENT	P.Value_NAC_M_FENT
ME26	Rps6	ENSMUSG00000028495	-0.076490370202754	-0.0586897855111888	-0.0942909548943192	0.199791867439766	0.502035613999539	0.242177326236553
ME66	Masp2	ENSMUSG00000028979	0.130771720041039	0.187116013014814	0.074427427067264	0.600817431430716	0.611230605389856	0.825629161970297
ME64	Sepsecs	ENSMUSG00000029173	-0.0823317148278413	-0.258813902012562	0.0941504723568793	0.397025856988401	0.0736770800588318	0.473699527493492
ME43	Gas2	ENSMUSG00000030498	-0.35299604493298	-0.460675910272382	-0.245316179593578	0.00566681137203717	0.0135975105141046	0.145639639585526
ME65	Abcc6	ENSMUSG00000030834	-0.0282526020052607	0.491588929239478	-0.548094133249999	0.916368337083868	0.217728654020301	0.135794562775856
ME3	Mtcp1	ENSMUSG00000031200	-0.0551184620467833	-0.0477343638870753	-0.0625025602064913	0.739755557713254	0.845103535298657	0.780668171160972
ME29	Fgfr1	ENSMUSG00000031565	-0.0714098844025672	-0.0812236415253746	-0.0615961272797598	0.605835789698408	0.69013578899774	0.74199794183596
ME57	Zfp90	ENSMUSG00000031907	0.13559136605604	0.177319590383752	0.0938631417283275	0.190528576592808	0.244425001197593	0.500723223724102
ME49	Fez1	ENSMUSG00000032118	-0.377473800845245	-0.506334895161275	-0.248612706529214	0.000191730219348976	0.000606330378261148	0.0576358447807747
ME40	Anxa2	ENSMUSG00000032231	0.0625376091391205	0.239113817554615	-0.114038599276374	0.82112448448641	0.557741185585719	0.760608440872149
ME22	Exd2	ENSMUSG00000032705	-0.132000557592438	0.00207312303716822	-0.266074238222044	0.114857501410058	0.98644419541064	0.020330855657393
ME7	Gpc1	ENSMUSG00000034220	0.153332971948319	0.338889900627533	-0.0322239567308964	0.166054000742689	0.0396088361344965	0.828329127097909
ME20	Dhx57	ENSMUSG00000035051	0.0294425711009865	-0.047053950396565	0.105939092598538	0.738772607418921	0.717498145847766	0.376500382009984
ME46	Hacd2	ENSMUSG00000035376	-0.177446464580181	-0.231396156579977	-0.123496772580386	0.0678505327576793	0.104912037479867	0.342587818299002
ME11	Limch1	ENSMUSG00000037736	-0.555313609453937	-0.875370568755722	-0.235256650152152	0.00837245866577644	0.00494901488990395	0.396502698254115
ME63	Ccdc50	ENSMUSG00000038127	0.0603680462108618	-0.0425164013648391	0.163252493786563	0.392905088638518	0.682178947222955	0.0905927899399119
ME72	Fam50b	ENSMUSG00000038246	-0.00484600499324839	-0.379347487182442	0.369655477195945	0.98524046384632	0.327482465930757	0.299151411119944
ME30	1700066M21Rik	ENSMUSG00000038323	-0.117945578759543	-0.10897962579041	-0.126911531728676	0.229705452454305	0.449491378254404	0.338371455336689
ME44	Grtp1	ENSMUSG00000038515	0.24155144732251	0.39526718598063	0.0878357086643895	0.124398548542475	0.0885372122492752	0.676804243927153
ME68	Sytl3	ENSMUSG00000041831	0.302927403502976	0.402195571230859	0.203659235775094	0.194175291622329	0.24124937968618	0.516582442721376
ME24	Gm9493	ENSMUSG00000044424	-0.140745020758396	-0.045264124313241	-0.236225917203551	0.0845368237048046	0.7030663371751	0.0335201257574344
ME5	Ankrd50	ENSMUSG00000044864	0.0391224159080563	-0.105408376531479	0.183653208347591	0.70169728495018	0.484152859168989	0.186825268822931
ME31	Pcdhb17	ENSMUSG00000046387	0.0671107612476827	0.0324114179640063	0.101810104531359	0.522813143944286	0.833785479494683	0.473870518601662
ME25	Lonp2	ENSMUSG00000047866	0.0362495145016717	0.0306228718013557	0.0418761572019877	0.577703556636002	0.749275038366316	0.634402259133846
ME1	Zfp644	ENSMUSG00000049606	-0.120161645613559	-0.236482809552412	-0.00384048167470574	0.172807736912346	0.0702160239175593	0.974106719160923
ME12	Foxc1	ENSMUSG00000050295	-0.0979520440877906	-0.166586510408451	-0.02931757776713	0.548859919203492	0.489048267176578	0.894345466130892
ME27	Htr1f	ENSMUSG00000050783	-0.318027882370959	-0.458336527008282	-0.177719237733637	0.167884758973742	0.177087492449401	0.566377334361737
ME9	Dnah6	ENSMUSG00000052861	-0.353090364048689	-0.322654432881053	-0.383526295216325	0.473168083939512	0.655864340196502	0.564384333037685
ME23	Msl1	ENSMUSG00000052915	-0.0163013236738458	-0.0312263994986841	-0.00137624784900758	0.772076897162755	0.706457451033151	0.985574024367146
ME50	Bcl3	ENSMUSG00000053175	-0.572305254955251	-0.85977735146174	-0.284833158448762	0.0807311548975936	0.0750114476871581	0.515915455284878
ME59	Zfp667	ENSMUSG00000054893	0.172018618937069	0.0502800438589075	0.293757194015231	0.14113732748789	0.768290983272817	0.0646655161667097
ME38	Myh1	ENSMUSG00000056328	0.044617505573125	-0.276669039941259	0.365904051087509	0.908721064337931	0.629642258845953	0.487944388059437
ME54	Plac8l1	ENSMUSG00000059455	0.342159272394265	0.430506948030727	0.253811596757803	0.206399124354415	0.27956458528965	0.486408519433653
ME47	Hbb-bt	ENSMUSG00000073940	-0.443712192640683	-0.479132644317955	-0.40829174096341	0.350190582451821	0.4926735757379	0.524361313888938
ME15	Zfp965	ENSMUSG00000078896	0.0544369922401609	0.0665202361515067	0.0423537483288148	0.602245547607607	0.665354466815851	0.764226178305908
ME70	Gm8731	ENSMUSG00000080779	-0.133132971043208	-0.22045565670765	-0.0458102853787659	0.609760699524081	0.566198236586044	0.896609287584003
ME56	Gm4853	ENSMUSG00000081473	0.185295661620276	0.421293519736177	-0.0507021964956251	0.18535709413095	0.0429573237699678	0.787333382270731
ME45	Nckap5los	ENSMUSG00000089968	-0.146926066694478	-0.244574019325609	-0.0492781140633478	0.620873786310635	0.576283467248924	0.902319767848418
ME53	Gm5558	ENSMUSG00000096726	0.0245436286856566	0.362157406152999	-0.313070148781686	0.843382594950822	0.0514261416021375	0.0662860687368952
ME0	Mtrnr2l7	ENSMUSG00000096887	-0.947711060727657	-0.969912301361464	-0.925509820093851	0.00333923777744621	0.0377891663191118	0.0311817978556602
ME58	E230013L22Rik	ENSMUSG00000096957	0.0366977428986962	0.264223086070205	-0.190827600272813	0.89100098685191	0.50371187690283	0.598806948218219
ME4	Kcnq1ot1	ENSMUSG00000101609	-0.196782428380447	-0.0463153780965389	-0.347249478664355	0.556167630717055	0.924966261096794	0.443177685901139
ME36	Gm37107	ENSMUSG00000102136	-0.124183044101607	-0.0406620138800173	-0.207704074323196	0.35018700695668	0.834906823098639	0.249040670364832
ME6	Gm31266	ENSMUSG00000103843	0.261898141131306	0.488661361220553	0.035134921042058	0.156773417742355	0.0743001364397501	0.887402017713672
ME61	Gm9771	ENSMUSG00000106486	-0.042713354818863	-0.0219872527252924	-0.0634394569124335	0.845396546151939	0.945660221845144	0.830506246819434
ME69	Gm3365	ENSMUSG00000111594	-0.0254313864654588	-0.0380056001325935	-0.0128571727983242	0.87519233982307	0.873384719975948	0.953193821652096
ME34	Gm5184	ENSMUSG00000112650	-0.571894239380435	-0.398227215188354	-0.745561263572517	0.0468132278376786	0.341051904897369	0.0551362214693908
ME71	Gm40663	ENSMUSG00000113241	0.108091157964189	0.210893405386189	0.00528891054218894	0.731183300403353	0.649175899796503	0.990081915699527
ME52	Gm55604	ENSMUSG00002076348	-0.095269096765177	0.161999814234168	-0.352538007764522	0.662546510181461	0.614488373879453	0.235056521340732
ME37	Gm54587	ENSMUSG00002076451	-0.701413268141444	-0.427867875445571	-0.974958660837318	0.00027975146898114	0.115016000951149	0.000197550329314847
